192.168.50.102 Zff6mnb0td VZ BowlingMiddle4
192.168.50.213 00:BF:AF:C5:17:F0 AND BowlingLeft
192.168.50.171 0 RK BowlingRight
192.168.50.218 50109 RK FrontDesk1
192.168.50.17 50109 RK FrontDesk2
192.168.50.241 0 RK FrontDesk3
192.168.50.60 0 RK FrontDesk4
192.168.50.156 38:64:07:D1:97:74 AND PingPongNorth
192.168.50.155 0 RK PingPongMiddle
192.168.50.219 0 RK PingPongSouth
192.168.50.180 0 RK GardenLeft
192.168.50.153 0 RK GardenRight
192.168.50.147 0 RK HudsonLeft
192.168.50.175 0 RK HudsonRight
192.168.50.194 0 RK JacksonLeft 
192.168.50.27 0 RK JacksonRight
192.168.50.145 0 RK MadisonLeft 
192.168.50.151 0 RK MadisonRight
192.168.50.229 0 RK MonroeLeft 
192.168.50.146 0 RK MonroeRight
192.168.50.137 0 AND PartyRoomTV
192.168.50.118 50109 RK PoolHallSignage
192.168.50.223 d4:f9:21:88:3b:9f AND PoolHallEast
192.168.50.227 d4:f9:21:88:3b:ae AND PoolHallWest
192.168.50.108 E0:D8:C4:50:20:BE AND BoardGameWest
192.168.50.198 E0:D8:C4:4F:24:28 AND BoardGameEast
